"group","family","genus","species","sub.var"
"native","Apiaceae","Apium","prostratum","var. filiforme"
"native","Apiaceae","Centella","asiatica",NA
"native","Apocynaceae","Alyxia","buxifolia",NA
"native","Apocynaceae","Marsdenia","rostrata",NA
"native","Apocynaceae","Centipeda","minima","subsp. minima"
"native","Apocynaceae","Cotula","coronopifolia",NA
"native","Callitrichaceae","Callitriche","sonderi",NA
"native","Dicksoniaceae","Calochlaena","dubia",NA
"native","Elatinaceae","Elatine","gratioloides",NA
"native","Oxalidaceae","Oxalis","corniculata",NA
"native","Phormiaceae","Dianella","longifolia",NA
"native","Poaceae","Agrostis","avenacea","var. avenacea"
"native","Rutaceae","Correa","alba",NA
"native","Scrophulariaceae","Limosella","australis",NA
"native","Scrophulariaceae","Mimulus","repens",NA
"native","Scrophulariaceae","Veronica","plebeia",NA
"native","Sinopteridaceae","Cheilanthes","austrotenuifolia",NA
"native","Sinopteridaceae","Pellaea","falcata","var. falcata"
"native","Solanaceae","Solanum","americanum",NA
"native","Solanaceae","Solanum","prinophyllum",NA
"native","Solanaceae","Solanum","vescum",NA
"intro","Asteraceae","Sonchus","oleraceus",NA
"intro","Basellaceae","Anredera","cordifolia",NA
"intro","Brassicaceae","Cakile","maritima","subsp. maritima"
"intro","Caryophyllaceae","Polycarpon","tetraphyllum",NA
"intro","Poaceae","Digitaria","ciliaris",NA
"intro","Poaceae","Eleusine","indica",NA
"intro","Poaceae","Lagurus","ovatus",NA
"intro","Poaceae","Paspalum","dilatatum",NA
"intro","Poaceae","Paspalum","distichum",NA
"intro","Primulaceae","Solanum","nigrum",NA