photo_no,group,family,genus,species,sub.var,link,location,photographer
6,native,Scrophulariaceae,Veronica,plebeia,,/photo/apii/id/dig/37849,"Taken at. Carnarvon Station Reserve. Mailman Spring. Between creek and fire trail, QLD","Photographer. Toms, E.J."
7,native,Scrophulariaceae,Veronica,plebeia,,/photo/apii/id/dig/8696,"Taken at. ANBG, ACT","Photographer. Fagg, M."
8,native,Scrophulariaceae,Veronica,plebeia,,/photo/apii/id/dig/8697,"Taken at. ANBG, ACT","Photographer. Fagg, M."
9,native,Scrophulariaceae,Veronica,plebeia,,/photo/apii/id/dig/8698,"Taken at. ANBG, ACT","Photographer. Fagg, M."
0,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/143,Taken at. Warby Range VIC,"Photographer. Greig, D."
1,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/ara/3,Taken at. Aranda ACT,"Photographer. Ormay, P."
2,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/ara/4,Taken at. Aranda ACT,"Photographer. Ormay, P."
3,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/foa/742,Taken at. ,Photographer. see Illustrator
4,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/213,Taken at. Cocoparra National Park NSW,"Photographer. Fagg, M."
5,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/406,Taken at. Maldon VIC,"Photographer. Hill, R."
6,native,Sinopteridaceae,Cheilanthes,austrotenuifolia,,/photo/apii/id/p/407,Taken at. Maldon VIC,"Photographer. Hill, R."
0,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/p/528,Taken at. Ben Boyd National Park NSW,"Photographer. Hill, R."
1,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/16302,"Taken at. Koorawatha Nature Reserve, NSW","Photographer. Schmidt-Lebuhn, A.N."
2,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/16303,"Taken at. Koorawatha Nature Reserve, NSW","Photographer. Schmidt-Lebuhn, A.N."
3,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/16304,"Taken at. Koorawatha Nature Reserve, NSW","Photographer. Schmidt-Lebuhn, A.N."
4,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20734,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
5,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20735,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
6,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20736,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
7,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/20737,"Taken at. Ben Boyd National Park, near Eden, NSW","Photographer. Fagg, M."
8,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/6175,"Taken at. Bungonia Gorge Cons Reserve, NSW","Photographer. Fagg, M."
9,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/6176,"Taken at. Bungonia Gorge Cons Reserve, NSW","Photographer. Fagg, M."
10,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/dig/6177,"Taken at. Bungonia Gorge Cons Reserve, NSW","Photographer. Fagg, M."
11,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/foa/740,Taken at. ,Photographer. see Illustrator
12,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/p/527,Taken at. Unknown,"Photographer. Hill, R."
13,native,Sinopteridaceae,Pellaea,falcata,var. falcata,/photo/apii/id/p/310,Taken at. Barrington Tops NSW,"Photographer. Greig, D."
0,native,Solanaceae,Solanum,americanum,,,,nan
0,native,Solanaceae,Solanum,prinophyllum,,,,nan
0,native,Solanaceae,Solanum,vescum,,/photo/apii/id/dig/60010,"Taken at. Australian National Herbarium, ACT","Photographer. Shaw, E.; Burrows, M."
1,native,Solanaceae,Solanum,vescum,,/photo/apii/id/nsb/1053,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
2,native,Solanaceae,Solanum,vescum,,/photo/apii/id/nsb/1054,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
3,native,Solanaceae,Solanum,vescum,,/photo/apii/id/wb/9,Taken at. Warrumbungles NSW,"Photographer. Streimann, H"
0,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/21815,"Taken at. north of Balranald on Ivanhoe Road, NSW","Photographer. Fagg, M."
1,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/21816,"Taken at. north of Balranald on Ivanhoe Road, NSW","Photographer. Fagg, M."
2,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/21817,"Taken at. north of Balranald on Ivanhoe Road, NSW","Photographer. Fagg, M."
3,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/4392,Taken at. southern edge of Lake George near Bungendore NSW,"Photographer. Fagg, M."
4,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/4393,Taken at. southern edge of Lake George near Bungendore NSW,"Photographer. Fagg, M."
5,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/44426,"Taken at. Ellery Waterhole, MacDonnell Ranges, 80 km W of Alice Springs, NT","Photographer. Fagg, M."
6,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/44427,"Taken at. Ellery Waterhole, MacDonnell Ranges, 80 km W of Alice Springs, NT","Photographer. Fagg, M."
7,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/44428,"Taken at. Ellery Waterhole, MacDonnell Ranges, 80 km W of Alice Springs, NT","Photographer. Fagg, M."
8,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/44429,"Taken at. Ellery Waterhole, MacDonnell Ranges, 80 km W of Alice Springs, NT","Photographer. Fagg, M."
9,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/44430,"Taken at. Ellery Waterhole, MacDonnell Ranges, 80 km W of Alice Springs, NT","Photographer. Fagg, M."
10,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/49933,"Taken at. Entrance to Christmas Island Detention Centre, 2.2 km W of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
11,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/49934,"Taken at. Entrance to Christmas Island Detention Centre, 2.2 km W of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
12,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/49935,"Taken at. Entrance to Christmas Island Detention Centre, 2.2 km W of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
13,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/8369,"Taken at. drain in Haig Park, Turner, Canberra, ACT","Photographer. Fagg, M."
14,intro,Asteraceae,Sonchus,oleraceus,,/photo/apii/id/dig/8370,"Taken at. drain in Haig Park, Turner, Canberra, ACT","Photographer. Fagg, M."
0,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/10091,"Taken at. Seaford, between station parking lot and Kananook Creek, VIC.","Photographer. Shepherd, R.C.H."
1,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/10089,"Taken at. Seaford, between station parking lot and Kananook Creek, VIC.","Photographer. Shepherd, R.C.H."
2,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/10090,"Taken at. Seaford, between station parking lot and Kananook Creek, VIC.","Photographer. Shepherd, R.C.H."
3,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/10092,"Taken at. Edge of parking lot, near Kananook Creek, Seaford railway station, VIC.","Photographer. Shepherd, R.C.H."
4,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/10093,"Taken at. Seaford, between station parking lot and Kananook Creek, VIC.","Photographer. Shepherd, R.C.H."
5,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/10094,"Taken at. Seaford, between station parking lot and Kananook Creek, VIC.","Photographer. Shepherd, R.C.H."
6,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/10095,"Taken at. Seaford, between station parking lot and Kananook Creek, VIC.","Photographer. Shepherd, R.C.H."
7,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11076,"Taken at. Mazlin Creek, Bean Tree Road, QLD.","Photographer. Gray, B."
8,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11077,"Taken at. Mazlin Creek, Bean Tree Road, QLD.","Photographer. Gray, B."
9,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11092,"Taken at. Mazlin Creek, Bean Tree Road, QLD.","Photographer. Gray, B."
10,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11093,"Taken at. Mazlin Creek, Bean Tree Road, QLD.","Photographer. Gray, B."
11,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11177,"Taken at. Makawao, Maui, Hawaii, USA.","Photographer. Starr, F. &amp; K."
12,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11178,"Taken at. HPoko, Maui, Hawaii, USA.","Photographer. Starr, F. &amp; K."
13,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11179,"Taken at. Lanai City, Lanai, Hawaii, USA.","Photographer. Starr, F. &amp; K."
14,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11180,"Taken at. Lanai City, Lanai, Hawaii, USA.","Photographer. Starr, F. &amp; K."
15,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11181,"Taken at. Lanai City, Lanai, Hawaii, USA.","Photographer. Starr, F. &amp; K."
16,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11182,"Taken at. HPoko, Maui, Hawaii, USA.","Photographer. Starr, F. &amp; K."
17,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/11183,"Taken at. Ulupalakua, Maui, Hawaii, USA.","Photographer. Starr, F. &amp; K."
18,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/20719,"Taken at. cliff edge, Eden, NSW","Photographer. Fagg, M."
19,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/20720,"Taken at. cliff edge, Eden, NSW","Photographer. Fagg, M."
20,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/20721,"Taken at. cliff edge, Eden, NSW","Photographer. Fagg, M."
21,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/20722,"Taken at. cliff edge, Eden, NSW","Photographer. Fagg, M."
22,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/20723,"Taken at. cliff edge, Eden, NSW","Photographer. Fagg, M."
23,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/28111,"Taken at. near Nymboida River crossing, Armidale to Grafton Road, NSW","Photographer. Fagg, M."
24,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/28112,"Taken at. near Nymboida River crossing, Armidale to Grafton Road, NSW","Photographer. Fagg, M."
25,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/28113,"Taken at. near Nymboida River crossing, Armidale to Grafton Road, NSW","Photographer. Fagg, M."
26,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/28114,"Taken at. near Nymboida River crossing, Armidale to Grafton Road, NSW","Photographer. Fagg, M."
27,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/28115,"Taken at. near Nymboida River crossing, Armidale to Grafton Road, NSW","Photographer. Fagg, M."
28,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/33441,"Taken at. near Cargo, NSW","Photographer. Fagg, M."
29,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/33442,"Taken at. near Cargo, NSW","Photographer. Fagg, M."
30,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/33443,"Taken at. near Cargo, NSW","Photographer. Fagg, M."
31,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/33444,"Taken at. near Cargo, NSW","Photographer. Fagg, M."
32,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/33445,"Taken at. near Cargo, NSW","Photographer. Fagg, M."
33,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/dig/33446,"Taken at. near Cargo, NSW","Photographer. Fagg, M."
34,intro,Basellaceae,Anredera,cordifolia,,/photo/apii/id/rfk/9831,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
0,intro,Brassicaceae,Cakile,maritima,subsp. maritima,/photo/apii/id/dig/39136,"Taken at. Sheringa Lagoon dunes, 35 km SE of Elliston, Eyre Peninsula, SA","Photographer. Fagg, M."
0,intro,Caryophyllaceae,Polycarpon,tetraphyllum,,/photo/apii/id/dig/33074,"Taken at. Dryandra Street nature-strip, O'Connor, ACT","Photographer. Fagg, M."
1,intro,Caryophyllaceae,Polycarpon,tetraphyllum,,/photo/apii/id/dig/46031,"Taken at. George St, Kensington, WA","Photographer. Thiele, K.R."
2,intro,Caryophyllaceae,Polycarpon,tetraphyllum,,/photo/apii/id/dig/46032,"Taken at. George St, Kensington, WA","Photographer. Thiele, K.R."
3,intro,Caryophyllaceae,Polycarpon,tetraphyllum,,/photo/apii/id/dig/7501,"Taken at. ANBG, ACT","Photographer. Fagg, M."
4,intro,Caryophyllaceae,Polycarpon,tetraphyllum,,/photo/apii/id/dig/7502,"Taken at. ANBG, ACT","Photographer. Fagg, M."
0,intro,Poaceae,Digitaria,ciliaris,,,,nan
0,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/29810,"Taken at. Shepherds Lane, Coffs Harbour, NSW","Photographer. Fagg, M."
1,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/29811,"Taken at. Shepherds Lane, Coffs Harbour, NSW","Photographer. Fagg, M."
2,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/29812,"Taken at. Shepherds Lane, Coffs Harbour, NSW","Photographer. Fagg, M."
3,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/29813,"Taken at. Shepherds Lane, Coffs Harbour, NSW","Photographer. Fagg, M."
4,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/41049,"Taken at. Catchment pool, artificial wetland near Lynham High School, ACT","Photographer. Fagg, M."
5,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/41050,"Taken at. Catchment pool, artificial wetland near Lynham High School, ACT","Photographer. Fagg, M."
6,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/41051,"Taken at. Catchment pool, artificial wetland near Lynham High School, ACT","Photographer. Fagg, M."
7,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/41052,"Taken at. Catchment pool, artificial wetland near Lynham High School, ACT","Photographer. Fagg, M."
8,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/48888,"Taken at. Rehabilitation site, 1.6 km SE of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
9,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/48889,"Taken at. Rehabilitation site, 1.6 km SE of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
10,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/48890,"Taken at. Rehabilitation site, 1.6 km SE of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
11,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/48891,"Taken at. Rehabilitation site, 1.6 km SE of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
12,intro,Poaceae,Eleusine,indica,,/photo/apii/id/dig/48892,"Taken at. Rehabilitation site, 1.6 km SE of junction of North West Point Road and East West Baseline, Christmas Island","Photographer. Fagg, M."
0,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11126,"Taken at. Ocean Grove, VIC.","Photographer. Richardson, R.G. &amp; F.J."
1,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11127,"Taken at. Grubb Road, Wallington, VIC.","Photographer. Richardson, R.G. &amp; F.J."
2,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11128,"Taken at. Grubb Road, Wallington, VIC.","Photographer. Richardson, R.G. &amp; F.J."
3,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11129,"Taken at. Grubb Road, Wallington, VIC.","Photographer. Richardson, R.G. &amp; F.J."
4,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11130,"Taken at. Grubb Road roudabout, Wallington, VIC.","Photographer. Richardson, R.G. &amp; F.J."
5,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11131,"Taken at. Wallington, VIC.","Photographer. Richardson, R.G. &amp; F.J."
6,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11132,"Taken at. Foreshore Brighton near Brighton Baths, VIC.","Photographer. Richardson, R.G. &amp; F.J."
7,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11133,"Taken at. Marengo foreshore, Apollo Bay, VIC.","Photographer. Richardson, R.G. &amp; F.J."
8,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11134,"Taken at. Marengo foreshore, Apollo Bay, VIC.","Photographer. Richardson, R.G. &amp; F.J."
9,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/11135,"Taken at. Along rail tracks, near Kananook Railway Station, VIC.","Photographer. Shepherd, R.C.H."
10,intro,Poaceae,Lagurus,ovatus,,/photo/apii/id/dig/45556,"Taken at. Inglewood (suburb of Perth), WA","Photographer. Thiele, K.R."
0,intro,Poaceae,Paspalum,dilatatum,,/photo/apii/id/dig/7917,"Taken at. Gininderra Creek, below dam, Canberra, ACT","Photographer. Fagg, M."
1,intro,Poaceae,Paspalum,dilatatum,,/photo/apii/id/dig/7918,"Taken at. Gininderra Creek, below dam, Canberra, ACT","Photographer. Fagg, M."
2,intro,Poaceae,Paspalum,dilatatum,,/photo/apii/id/dig/7919,"Taken at. Gininderra Creek, below dam, Canberra, ACT","Photographer. Fagg, M."
3,intro,Poaceae,Paspalum,dilatatum,,/photo/apii/id/dig/7923,"Taken at. Gininderra Creek, below dam, Canberra, ACT","Photographer. Fagg, M."
0,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39167,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
1,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39168,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
2,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39169,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
3,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39170,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
4,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39171,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
5,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39172,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
6,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39173,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
7,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/39174,"Taken at. Yass River, Yass, NSW","Photographer. Fagg, M."
8,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/7951,"Taken at. Jerrabomberra Wetlands Reserve, ACT","Photographer. Fagg, M."
9,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/dig/7952,"Taken at. Jerrabomberra Wetlands Reserve, ACT","Photographer. Fagg, M."
10,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/x/3443,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
11,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/x/1888,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
12,intro,Poaceae,Paspalum,distichum,,/photo/apii/id/x/3444,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
0,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/dig/15959,"Taken at. Booroowa - Crookwell Road, NSW","Photographer. Fagg, M."
1,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/dig/15960,"Taken at. Booroowa - Crookwell Road, NSW","Photographer. Fagg, M."
2,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/dig/15961,"Taken at. Booroowa - Crookwell Road, NSW","Photographer. Fagg, M."
3,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/dig/15962,"Taken at. Booroowa - Crookwell Road, NSW","Photographer. Fagg, M."
4,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/dig/15963,"Taken at. Booroowa - Crookwell Road, NSW","Photographer. Fagg, M."
5,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/dig/3381,"Taken at. Pialago, near Cotter ACT","Photographer. Fagg, M."
6,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/dig/3382,"Taken at. Pialago, near Cotter ACT","Photographer. Fagg, M."
7,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/rfk/1056,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
8,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/rfk/11815,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
9,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/rfk/158,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
10,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/rfk/159,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
11,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/rfk/4805,Taken at. see Australian Tropical Rainforest Plants Key,"Photographer. Jago, B."
12,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/rfk/9288,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
13,intro,Primulaceae,Solanum,nigrum,,/photo/apii/id/rfk/9289,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
